ts_us,ch2_mv,ch3_mv
4335880489,370.026,356.299
4335881920,370.026,356.299
4335883407,370.026,356.299
4335884856,370.026,356.299
4335886342,370.026,356.299
4335887781,370.026,356.299
4335889264,370.026,356.299
4335890707,370.026,356.299
4335892147,370.026,356.299
4335893605,370.026,356.299
4335895062,370.026,356.299
4335896519,370.026,356.299
4335897981,370.026,356.299
4335899438,370.026,356.299
4335900933,370.026,356.299
4335902415,370.026,356.299
4335903857,370.026,356.299
4335905339,370.026,356.299
4335906782,370.026,356.299
4335908263,370.026,356.299
4335909706,370.026,356.299
4335911168,370.026,356.299
4335912616,370.026,356.299
4335914082,370.026,356.299
4335915606,370.026,356.299
4335917039,370.026,356.299
4335918496,370.026,356.299
4335919932,370.026,356.299
4335921412,370.026,356.299
4335922932,370.026,356.299
4335924414,370.026,356.299
4335925857,370.026,356.299
4335927340,370.026,356.299
